	Participant ID	Slide Nr.	Learning Style Dimension	Content per AOI	Total_duration_of_fixations	Average_duration_of_fixations	Minimum_duration_of_fixations	Maximum_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Duration_of_first_fixation	Last_AOI_viewed	Average_pupil_diameter	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Minimum_duration_of_whole_fixations	Maximum_duration_of_whole_fixations	Number_of_whole_fixations	Time_to_first_whole_fixation	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Time_to_first_Visit	Duration_of_first_Visit	Total_duration_of_Glances	Average_duration_of_Glances	Minimum_duration_of_Glances	Maximum_duration_of_Glances	Number_of_Glances	Time_to_first_Glance	Duration_of_first_Glance	Number_of_mouse_clicks	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Peak_velocity_of_exit_saccade
648	1	4.0	Understanding	Table of contents	1752	135.0	68.0	288.0	13	1013.0	104.0	Summary	2,47853	1100	157.0	72.0	288.0	7	1349.0	72.0	2,46987	7448	7448.0	7448.0	7448.0	1	1013.0	7448.0	7448	7448.0	7448.0	7448.0	1	1013.0	7448.0	0	0				
649	1	4.0	Understanding	Summary	3404	148.0	60.0	440.0	23	15065.0	60.0	Summary	2,48988	1992	153.0	72.0	372.0	13	16021.0	96.0	2,47655	25108	12554.0	440.0	24668.0	2	15065.0	24668.0	25108	12554.0	440.0	24668.0	2	15065.0	24668.0	0	2		41097.0		153,7
651	1	7.0	Input	Illustrations	7120	264.0	116.0	488.0	27	0.0	239.0	Illustrations	2,43135	5344	314.0	128.0	488.0	17	1407.0	144.0	2,43492	8512	1064.0	144.0	4763.0	8	0.0	4763.0	8644	1081.0	156.0	4763.0	8	0.0	4763.0	0	8	6299.0	6795.0	192,22	191,79
650	1	7.0	Input	Key words	2528	140.0	68.0	280.0	18	4823.0	148.0	Illustrations	2,41424	2036	157.0	68.0	280.0	13	5003.0	232.0	2,42701	5712	952.0	116.0	2372.0	6	4823.0	1476.0	5784	964.0	116.0	2376.0	6	4823.0	1476.0	0	3	6795.0	6299.0	191,79	192,22
652	1	10.0	Process	Example	0				0			Exercise		0				0				0				0			0				0			0	0				
653	1	10.0	Process	Exercise	732	183.0	76.0	280.0	4	23439.0	204.0	Exercise	2,476	732	183.0	76.0	280.0	4	23439.0	204.0	2,476	804	804.0	804.0	804.0	1	23439.0	804.0	836	836.0	836.0	836.0	1	23407.0	836.0	0	3	23407.0		127,69	
654	1	10.0	Process	Theory	13456	187.0	64.0	480.0	72	0.0	248.0	Exercise	2,42892	9580	213.0	64.0	480.0	45	316.0	144.0	2,41968	23055	23055.0	23055.0	23055.0	1	0.0	23055.0	23055	23055.0	23055.0	23055.0	1	0.0	23055.0	0	26		23055.0		470,14
655	1	13.0	Input	Key words	4220	281.0	116.0	724.0	15	708.0	180.0	Key words	2,41694	3208	356.0	144.0	724.0	9	2776.0	724.0	2,42893	6152	1025.0	192.0	2792.0	6	708.0	2792.0	6224	1037.0	192.0	2792.0	6	708.0	2792.0	0	5		4560.0		59,8
656	1	13.0	Input	Illustrations	1304	130.0	64.0	244.0	10	3564.0	76.0	Key words	2,40964	1100	137.0	64.0	244.0	8	4776.0	220.0	2,39762	2100	350.0	76.0	784.0	6	3564.0	76.0	2176	363.0	100.0	808.0	6	3540.0	100.0	0	1	6936.0		45,81	
657	1	16.0	Process	Example	4232	202.0	64.0	356.0	21	146.0	68.0	Example	2,46446	2164	270.0	176.0	356.0	8	2774.0	252.0	2,45523	9172	3057.0	84.0	4708.0	3	146.0	4708.0	9200	3067.0	84.0	4708.0	3	146.0	4708.0	0	6	5670.0	10078.0	182,95	207,3
658	1	16.0	Process	Exercise	1052	210.0	120.0	332.0	5	19574.0	120.0	Example	2,46316	452	226.0	120.0	332.0	2	19574.0	120.0	2,47999	33987	33987.0	33987.0	33987.0	1	19574.0	33987.0	34011	34011.0	34011.0	34011.0	1	19550.0	34011.0	0	1				
659	1	16.0	Process	Theory	1948	130.0	72.0	248.0	15	5534.0	136.0	Example	2,47138	1612	134.0	72.0	248.0	12	5534.0	136.0	2,48535	6816	2272.0	136.0	5952.0	3	5534.0	136.0	6896	2299.0	152.0	5952.0	3	5518.0	152.0	0	1	11150.0	5670.0	372,44	182,95
661	1	19.0	Input	Illustrations	2329	212.0	100.0	500.0	11	0.0	185.0	Illustrations	2,4004	1568	224.0	100.0	500.0	7	397.0	212.0	2,39809	2609	870.0	260.0	1617.0	3	0.0	1617.0	2617	872.0	268.0	1617.0	3	0.0	1617.0	0	6				
660	1	19.0	Input	Key words	192	96.0	80.0	112.0	2	2289.0	112.0	Illustrations	2,33221	112	112.0	112.0	112.0	1	2289.0	112.0	2,35289	192	96.0	80.0	112.0	2	2289.0	112.0	224	112.0	84.0	140.0	2	2261.0	140.0	0	0				
663	1	22.0	Process	Exercise	36231	188.0	64.0	592.0	193	1896.0	300.0	Exercise	2,45563	20112	205.0	64.0	576.0	98	2216.0	212.0	2,44822	81958	5854.0	992.0	18144.0	14	1896.0	14460.0	82126	5866.0	1016.0	18144.0	14	1896.0	14460.0	0	49	17999.0	119966.0	113,24	285,48
664	1	22.0	Process	Theory	1860	116.0	68.0	208.0	16	43991.0	156.0	Exercise	2,51977	932	104.0	68.0	204.0	9	54283.0	100.0	2,53794	11828	5914.0	156.0	11672.0	2	43991.0	156.0	11828	5914.0	156.0	11672.0	2	43991.0	156.0	0	2				
662	1	22.0	Process	Example	508	127.0	72.0	232.0	4	66799.0	112.0	Exercise	2,42081	164	82.0	72.0	92.0	2	67767.0	92.0	2,43634	1928	964.0	868.0	1060.0	2	66799.0	1060.0	1928	964.0	868.0	1060.0	2	66799.0	1060.0	0	0				
665	1	25.0	Perception	Multiple choice question	2780	116.0	60.0	260.0	24	28290.0	260.0	Multiple choice question	2,4621	1592	122.0	72.0	260.0	13	28290.0	260.0	2,47486	31188	10396.0	2116.0	19916.0	3	28290.0	19916.0	31256	10419.0	2132.0	19956.0	3	28250.0	19956.0	0	0				
666	1	25.0	Perception	Supporting text	10692	167.0	60.0	464.0	64	326.0	128.0	Multiple choice question	2,38166	5296	165.0	60.0	464.0	32	4034.0	296.0	2,39141	27300	27300.0	27300.0	27300.0	1	326.0	27300.0	27320	27320.0	27320.0	27320.0	1	306.0	27320.0	0	13				
667	1	28.0	Perception	Multiple choice question	3212	128.0	64.0	512.0	25	349.0	120.0	Multiple choice question	2,54581	504	101.0	64.0	200.0	5	3329.0	200.0	2,5156	61175	30588.0	3180.0	57995.0	2	349.0	3180.0	61175	30588.0	3180.0	57995.0	2	349.0	3180.0	0	0				
668	1	28.0	Perception	Supporting text	0				0			Multiple choice question		0				0				0				0			0				0			0	0				
669	1	31.0	Perception	First additional material	3944	136.0	60.0	364.0	29	735.0	168.0	Second additional material	2,4741	1328	133.0	64.0	276.0	10	8259.0	76.0	2,46758	18828	18828.0	18828.0	18828.0	1	735.0	18828.0	18828	18828.0	18828.0	18828.0	1	735.0	18828.0	0	5				
670	1	31.0	Perception	Second additional material	328	164.0	72.0	256.0	2	21675.0	72.0	Second additional material	2,61163	256	256.0	256.0	256.0	1	37987.0	256.0	2,64915	16568	16568.0	16568.0	16568.0	1	21675.0	16568.0	16588	16588.0	16588.0	16588.0	1	21655.0	16588.0	0	0				
671	1	31.0	Perception	Third additional material	0				0			Second additional material		0				0				0				0			0				0			0	0				
912	2	4.0	Understanding	Table of contents	2848	129.0	64.0	256.0	22	663.0	188.0	Summary	2,54179	292	146.0	96.0	196.0	2	6071.0	196.0	2,52866	15584	15584.0	15584.0	15584.0	1	663.0	15584.0	15584	15584.0	15584.0	15584.0	1	663.0	15584.0	0	1				
913	2	4.0	Understanding	Summary	3760	118.0	60.0	324.0	32	17295.0	112.0	Summary	2,55117	988	198.0	120.0	324.0	5	34359.0	192.0	2,52444	22156	22156.0	22156.0	22156.0	1	17295.0	22156.0	22156	22156.0	22156.0	22156.0	1	17295.0	22156.0	0	5				
915	2	7.0	Input	Illustrations	2696	300.0	132.0	452.0	9	8122.0	412.0	Key words	2,44957	2056	294.0	132.0	412.0	7	8122.0	412.0	2,45428	2908	727.0	188.0	1952.0	4	8122.0	412.0	3052	763.0	224.0	1984.0	4	8086.0	448.0	0	4	8086.0	8534.0	190,1	109,85
914	2	7.0	Input	Key words	2512	179.0	72.0	440.0	14	3950.0	96.0	Key words	2,38076	1236	177.0	112.0	248.0	7	7850.0	236.0	2,46881	6216	1243.0	160.0	4136.0	5	3950.0	4136.0	6292	1258.0	160.0	4136.0	5	3950.0	4136.0	0	5	8702.0	8086.0	94,54	190,1
916	2	10.0	Process	Example	12468	178.0	68.0	436.0	70	71604.0	160.0	Example	2,53991	8244	217.0	144.0	436.0	38	72304.0	196.0	2,52463	26600	26600.0	26600.0	26600.0	1	71604.0	26600.0	26600	26600.0	26600.0	26600.0	1	71604.0	26600.0	0	41				
917	2	10.0	Process	Exercise	11216	197.0	68.0	388.0	57	31744.0	88.0	Example	2,40918	7052	227.0	68.0	388.0	31	36148.0	280.0	2,36795	26684	3336.0	388.0	13224.0	8	31744.0	2932.0	26892	3362.0	428.0	13224.0	8	31744.0	2932.0	0	27	36128.0	36556.0	64,6	187,77
918	2	10.0	Process	Theory	8632	157.0	72.0	296.0	55	404.0	120.0	Example	2,506	3816	201.0	144.0	264.0	19	11084.0	144.0	2,49445	26316	26316.0	26316.0	26316.0	1	404.0	26316.0	26316	26316.0	26316.0	26316.0	1	404.0	26316.0	0	22				
919	2	13.0	Input	Key words	1344	224.0	80.0	372.0	6	1502.0	136.0	Key words	2,41859	244	244.0	244.0	244.0	1	5330.0	244.0	2,38889	4072	4072.0	4072.0	4072.0	1	1502.0	4072.0	4072	4072.0	4072.0	4072.0	1	1502.0	4072.0	0	1				
920	2	13.0	Input	Illustrations	0				0			Key words		0				0				0				0			0				0			0	0				
921	2	16.0	Process	Example	11284	174.0	60.0	532.0	65	432.0	236.0	Exercise	2,37987	5292	221.0	60.0	440.0	24	1488.0	204.0	2,36823	26164	26164.0	26164.0	26164.0	1	432.0	26164.0	26164	26164.0	26164.0	26164.0	1	432.0	26164.0	0	26		26596.0		489,28
922	2	16.0	Process	Exercise	12140	187.0	60.0	368.0	65	43760.0	124.0	Exercise	2,47939	9360	199.0	80.0	368.0	47	43908.0	132.0	2,47762	25472	8491.0	280.0	22696.0	3	43760.0	280.0	25472	8491.0	280.0	22696.0	3	43760.0	280.0	0	47		44040.0		156,91
923	2	16.0	Process	Theory	5644	209.0	72.0	536.0	27	26664.0	160.0	Exercise	2,32454	3540	253.0	144.0	536.0	14	26664.0	160.0	2,31063	14172	4724.0	344.0	12516.0	3	26664.0	1312.0	14276	4759.0	364.0	12532.0	3	26596.0	1380.0	0	11	26596.0	30152.0	489,28	127,39
924	2	19.0	Input	Key words	2344	213.0	84.0	392.0	11	1107.0	156.0	Key words	2,28628	1756	220.0	84.0	392.0	8	1715.0	92.0	2,31775	2564	641.0	156.0	1100.0	4	1107.0	156.0	2684	671.0	180.0	1124.0	4	1083.0	180.0	0	5	3375.0	2815.0	119,75	150,13
925	2	19.0	Input	Illustrations	1212	242.0	100.0	492.0	5	1363.0	100.0	Key words	2,42336	984	328.0	168.0	492.0	3	2855.0	324.0	2,42169	1312	437.0	300.0	520.0	3	1363.0	300.0	1396	465.0	300.0	560.0	3	1363.0	300.0	0	1	2815.0	3375.0	150,13	119,75
926	2	22.0	Process	Example	16872	206.0	64.0	492.0	82	46212.0	216.0	Example	2,5009	13076	238.0	76.0	492.0	55	46212.0	216.0	2,48795	25676	25676.0	25676.0	25676.0	1	46212.0	25676.0	25728	25728.0	25728.0	25728.0	1	46160.0	25728.0	0	56				
927	2	22.0	Process	Exercise	3472	120.0	60.0	284.0	29	1240.0	96.0	Example	2,44735	0				0				17380	8690.0	3356.0	14024.0	2	1240.0	3356.0	17380	8690.0	3356.0	14024.0	2	1240.0	3356.0	0	5				
928	2	22.0	Process	Theory	1784	119.0	64.0	268.0	15	21280.0	100.0	Example	2,42176	364	91.0	76.0	128.0	4	45180.0	80.0	2,38617	22912	7637.0	100.0	22544.0	3	21280.0	100.0	22976	7659.0	100.0	22572.0	3	21280.0	100.0	0	2	23564.0		152,73	
929	2	25.0	Perception	Multiple choice question	15560	169.0	64.0	516.0	92	23500.0	108.0	Multiple choice question	2,41846	10720	202.0	64.0	516.0	53	32616.0	100.0	2,41527	29144	9715.0	2080.0	15624.0	3	23500.0	2080.0	29184	9728.0	2100.0	15624.0	3	23480.0	2100.0	0	48				
930	2	25.0	Perception	Supporting text	5044	140.0	60.0	244.0	36	2071.0	96.0	Multiple choice question	2,44652	1168	195.0	164.0	244.0	6	15016.0	244.0	2,4339	21328	21328.0	21328.0	21328.0	1	2071.0	21328.0	21348	21348.0	21348.0	21348.0	1	2051.0	21348.0	0	10				
931	2	28.0	Perception	Multiple choice question	14472	223.0	64.0	544.0	65	6164.0	380.0	Multiple choice question	2,3947	11284	256.0	88.0	544.0	44	6164.0	380.0	2,39621	23236	11618.0	1512.0	21724.0	2	6164.0	21724.0	23308	11654.0	1556.0	21752.0	2	6136.0	21752.0	0	44	51728.0		310,07	
932	2	28.0	Perception	Supporting text	10380	160.0	60.0	560.0	65	28376.0	152.0	Multiple choice question	2,43715	5668	183.0	68.0	452.0	31	30692.0	148.0	2,4006	20548	6849.0	184.0	17556.0	3	28376.0	2808.0	20580	6860.0	200.0	17572.0	3	28376.0	2808.0	0	30	34156.0	31184.0	35,88	112
933	2	31.0	Perception	First additional material	1500	136.0	76.0	220.0	11	1176.0	108.0	Third additional material	2,38612	580	193.0	172.0	220.0	3	11700.0	172.0	2,36823	12924	6462.0	108.0	12816.0	2	1176.0	108.0	12924	6462.0	108.0	12816.0	2	1176.0	108.0	0	3				
935	2	31.0	Perception	Third additional material	7088	154.0	64.0	384.0	46	45736.0	156.0	Third additional material	2,43916	3164	186.0	80.0	308.0	17	52468.0	132.0	2,44331	22316	11158.0	2732.0	19584.0	2	45736.0	2732.0	22316	11158.0	2732.0	19584.0	2	45736.0	2732.0	0	17				
934	2	31.0	Perception	Second additional material	5992	136.0	64.0	412.0	44	1640.0	68.0	Third additional material	2,3997	1056	264.0	168.0	412.0	4	30928.0	264.0	2,34388	15036	7518.0	68.0	14968.0	2	1640.0	68.0	15092	7546.0	68.0	15024.0	2	1640.0	68.0	0	4				
1177	3	4.0	Understanding	Summary	20108	272.0	60.0	684.0	74	5904.0	356.0	Summary	2,93568	20108	272.0	60.0	684.0	74	5904.0	356.0	2,93568	22696	5674.0	232.0	21260.0	4	5904.0	868.0	22928	5732.0	292.0	21316.0	4	5864.0	908.0	0	67	5864.0	6772.0	108,73	273,18
1176	3	4.0	Understanding	Table of contents	33576	311.0	60.0	1212.0	108	260.0	196.0	Summary	3,0627	33576	311.0	60.0	1212.0	108	260.0	196.0	3,0627	38164	9541.0	604.0	28820.0	4	260.0	4956.0	38356	9589.0	624.0	28888.0	4	216.0	5000.0	0	94	216.0	5216.0	216,31	188,27
1179	3	7.0	Input	Illustrations	11860	516.0	180.0	1320.0	23	219.0	216.0	Key words	2,97955	11860	516.0	180.0	1320.0	23	219.0	216.0	2,97955	12612	2102.0	512.0	8004.0	6	219.0	876.0	12860	2143.0	556.0	8028.0	6	171.0	924.0	0	16	171.0	1095.0	159,68	224,87
1178	3	7.0	Input	Key words	3299	236.0	100.0	360.0	14	3071.0	360.0	Key words	3,01111	2764	230.0	100.0	360.0	12	3071.0	360.0	3,01351	3751	750.0	332.0	932.0	5	3071.0	816.0	3963	793.0	372.0	972.0	5	3031.0	856.0	0	8	3031.0	13039.0	179,36	192,72
1182	3	10.0	Process	Theory	11076	270.0	64.0	892.0	41	441.0	228.0	Exercise	2,92112	11076	270.0	64.0	892.0	41	441.0	228.0	2,92112	13056	1451.0	196.0	3876.0	9	441.0	524.0	13484	1498.0	248.0	3912.0	9	385.0	580.0	0	28	385.0	965.0	320,98	132,95
1181	3	10.0	Process	Exercise	7494	268.0	140.0	624.0	28	8597.0	140.0	Exercise	2,9434	7268	269.0	140.0	624.0	27	8597.0	140.0	2,94074	8514	2129.0	624.0	4860.0	4	8597.0	1900.0	8678	2170.0	668.0	4884.0	4	8561.0	1936.0	0	23	8561.0	10497.0	116,51	289,86
1180	3	10.0	Process	Example	5728	337.0	164.0	632.0	17	10549.0	192.0	Exercise	2,93806	5728	337.0	164.0	632.0	17	10549.0	192.0	2,93806	6404	2135.0	612.0	5160.0	3	10549.0	612.0	6520	2173.0	648.0	5208.0	3	10497.0	664.0	0	14	10497.0	11161.0	289,86	282,04
1184	3	13.0	Input	Illustrations	4671	359.0	111.0	584.0	13	3249.0	228.0	Illustrations	2,94087	4560	380.0	216.0	584.0	12	3249.0	228.0	2,94406	5039	1260.0	723.0	1780.0	4	3249.0	1076.0	5183	1296.0	767.0	1816.0	4	3193.0	1132.0	0	9	3193.0	4325.0	257,66	255,83
1183	3	13.0	Input	Key words	4448	371.0	156.0	620.0	12	233.0	448.0	Illustrations	3,05766	4448	371.0	156.0	620.0	12	233.0	448.0	3,05766	4712	785.0	216.0	2000.0	6	233.0	448.0	5004	834.0	292.0	2040.0	6	193.0	488.0	0	6	193.0	681.0	205,33	169,49
1187	3	16.0	Process	Theory	4772	318.0	136.0	572.0	15	7551.0	136.0	Exercise	2,9734	4772	318.0	136.0	572.0	15	7551.0	136.0	2,9734	5220	1305.0	580.0	2092.0	4	7551.0	580.0	5432	1358.0	652.0	2180.0	4	7479.0	652.0	0	11	7479.0	8131.0	270,06	193,43
1186	3	16.0	Process	Exercise	31950	432.0	84.0	5642.0	74	1627.0	276.0	Exercise	3,06043	26308	360.0	84.0	2040.0	73	1627.0	276.0	3,02175	35086	8772.0	1304.0	22612.0	4	1627.0	2720.0	35446	8862.0	1416.0	22652.0	4	1499.0	2848.0	0	67	1499.0	4347.0	364,08	304,37
1185	3	16.0	Process	Example	6143	279.0	104.0	692.0	22	0.0	187.0	Exercise	2,9442	5956	284.0	104.0	692.0	21	247.0	128.0	2,94267	6799	1133.0	516.0	1748.0	6	0.0	895.0	7035	1173.0	576.0	1796.0	6	0.0	895.0	0	14	4347.0	895.0	304,37	125,92
1189	3	19.0	Input	Illustrations	2799	350.0	132.0	779.0	8	323.0	132.0	Illustrations	2,89894	2020	289.0	132.0	628.0	7	323.0	132.0	2,9185	3079	770.0	580.0	908.0	4	323.0	908.0	3283	821.0	624.0	960.0	4	271.0	960.0	0	3	271.0	1231.0	252,7	140,1
1188	3	19.0	Input	Key words	5312	332.0	164.0	796.0	16	1283.0	184.0	Illustrations	2,90771	5312	332.0	164.0	796.0	16	1283.0	184.0	2,90771	5832	1458.0	184.0	4460.0	4	1283.0	184.0	6044	1511.0	236.0	4504.0	4	1231.0	236.0	0	11	1231.0	1467.0	140,1	207,5
1192	3	22.0	Process	Theory	15748	309.0	132.0	1164.0	51	475.0	200.0	Exercise	3,11011	15748	309.0	132.0	1164.0	51	475.0	200.0	3,11011	17816	2227.0	200.0	13024.0	8	475.0	200.0	18216	2277.0	244.0	13076.0	8	431.0	244.0	0	42	431.0	675.0	219,91	92,31
1191	3	22.0	Process	Exercise	18338	301.0	68.0	800.0	61	243.0	188.0	Exercise	3,09164	17960	299.0	68.0	800.0	60	243.0	188.0	3,09238	21150	1762.0	188.0	6216.0	12	243.0	188.0	21798	1816.0	240.0	6260.0	12	191.0	240.0	0	42	191.0	431.0	218,28	219,91
1190	3	22.0	Process	Example	17252	359.0	128.0	1144.0	48	2127.0	272.0	Exercise	3,15459	17252	359.0	128.0	1144.0	48	2127.0	272.0	3,15459	19576	3263.0	784.0	11936.0	6	2127.0	1648.0	19836	3306.0	820.0	11972.0	6	2083.0	1692.0	0	39	2083.0	3775.0	194,12	256,07
1194	3	25.0	Perception	Supporting text	13100	247.0	72.0	560.0	53	228.0	148.0	Multiple choice question	3,1054	13100	247.0	72.0	560.0	53	228.0	148.0	3,1054	15416	3854.0	148.0	7420.0	4	228.0	148.0	15576	3894.0	204.0	7440.0	4	172.0	204.0	0	41	172.0	376.0	256,22	118,87
1193	3	25.0	Perception	Multiple choice question	19792	287.0	136.0	651.0	69	8788.0	316.0	Multiple choice question	3,09931	19140	281.0	136.0	644.0	68	8788.0	316.0	3,09879	22572	11286.0	604.0	21968.0	2	8788.0	604.0	22652	11326.0	652.0	22000.0	2	8740.0	652.0	0	66	8740.0		280,69	
1196	3	28.0	Perception	Supporting text	10176	275.0	124.0	548.0	37	3447.0	548.0	Multiple choice question	3,11848	10176	275.0	124.0	548.0	37	3447.0	548.0	3,11848	11932	5966.0	1436.0	10496.0	2	3447.0	10496.0	12024	6012.0	1480.0	10544.0	2	3399.0	10544.0	0	33	3399.0	13943.0	220,14	224,32
1195	3	28.0	Perception	Multiple choice question	9020	410.0	148.0	2380.0	22	255.0	148.0	Multiple choice question	3,1346	6640	316.0	148.0	1604.0	21	255.0	148.0	3,13312	9740	1623.0	156.0	5760.0	6	255.0	552.0	9988	1665.0	168.0	5836.0	6	199.0	608.0	0	15	199.0	807.0	248,97	105,18
1198	3	31.0	Perception	Second additional material	1400	280.0	184.0	496.0	5	939.0	272.0	First additional material	3,23736	1400	280.0	184.0	496.0	5	939.0	272.0	3,23736	1656	552.0	496.0	664.0	3	939.0	496.0	1800	600.0	536.0	712.0	3	899.0	536.0	0	1	899.0	1435.0	198,83	206,97
1197	3	31.0	Perception	First additional material	753	188.0	123.0	292.0	4	0.0	179.0	First additional material	3,19084	452	226.0	160.0	292.0	2	235.0	160.0	3,20715	809	270.0	123.0	395.0	3	0.0	395.0	885	295.0	151.0	395.0	3	0.0	395.0	0	1	6479.0	395.0	150,69	77,8
1199	3	31.0	Perception	Third additional material	212	212.0	212.0	212.0	1	1475.0	212.0	First additional material	3,14903	212	212.0	212.0	212.0	1	1475.0	212.0	3,14903	212	212.0	212.0	212.0	1	1475.0	212.0	252	252.0	252.0	252.0	1	1435.0	252.0	0	0	1435.0	1687.0	206,97	324,97
1440	4	4.0	Understanding	Table of contents	17241	239.0	60.0	796.0	72	538.0	172.0	Table of contents	2,70387	15996	235.0	60.0	796.0	68	538.0	172.0	2,70181	19561	6520.0	1244.0	16660.0	3	538.0	16660.0	19789	6596.0	1304.0	16724.0	3	474.0	16724.0	0	63	474.0	17198.0	335,11	316,17
1441	4	4.0	Understanding	Summary	16172	213.0	64.0	504.0	76	17258.0	160.0	Table of contents	2,66415	15696	215.0	72.0	504.0	73	17258.0	160.0	2,66364	19004	9502.0	2608.0	16396.0	2	17258.0	2608.0	19116	9558.0	2668.0	16448.0	2	17198.0	2668.0	0	68	17198.0	19866.0	316,17	393,42
